Accession,Source Type,Source Date,Geography,Is Origin?,Elevation (meters),Latitude,Longitude,Uncertainty,Taxon
PI 481888,Collection source event,11/8/1981,Sudan,Y,1500,12.8,24.4,2000,Sorghum bicolor subsp. bicolor
PI 481889,Collection source event,11/8/1981,Sudan,Y,1000,12.76666667,24.4,2000,Sorghum bicolor subsp. bicolor
PI 481890,Collection source event,11/8/1981,Sudan,Y,1000,12.76666667,24.4,2000,Sorghum bicolor subsp. bicolor
PI 481891,Collection source event,11/10/1981,Sudan,Y,1100,12.73333333,24.26666667,2000,Sorghum bicolor subsp. bicolor
PI 481892,Collection source event,11/10/1981,Sudan,Y,1000,12.66666667,24.23333333,2000,Sorghum bicolor subsp. bicolor
PI 481893,Collection source event,11/10/1981,Sudan,Y,1000,12.85,24.13333333,2000,Sorghum bicolor subsp. bicolor
PI 481894,Collection source event,11/10/1981,Sudan,Y,1000,12.93333333,24.05,2000,Sorghum bicolor subsp. bicolor
PI 481895,Collection source event,11/11/1981,Sudan,Y,1300,12.95,24.16666667,2000,Sorghum bicolor subsp. bicolor
PI 481896,Collection source event,11/11/1981,Sudan,Y,1300,12.95,24.16666667,2000,Sorghum bicolor subsp. bicolor
PI 481897,Collection source event,11/11/1981,Sudan,Y,1300,12.95,24.16666667,2000,Sorghum bicolor subsp. bicolor
PI 481898,Collection source event,11/11/1981,Sudan,Y,1200,12.95,24.15,2000,Sorghum bicolor subsp. bicolor
PI 481899,Collection source event,11/13/1981,Sudan,Y,800,13.43333333,23.3,2000,Sorghum bicolor subsp. bicolor
PI 481900,Collection source event,11/13/1981,Sudan,Y,750,13.41666667,23.05,2000,Sorghum bicolor subsp. bicolor
PI 481902,Collection source event,11/13/1981,Sudan,Y,750,13.45,22.5,2000,Sorghum bicolor subsp. bicolor
PI 481903,Collection source event,11/14/1981,Sudan,Y,800,13.35,22.43333333,2000,Sorghum bicolor subsp. bicolor
PI 481904,Collection source event,11/14/1981,Sudan,Y,800,13.33333333,22.88333333,2000,Sorghum bicolor subsp. bicolor
PI 481906,Collection source event,11/15/1981,Sudan,Y,800,13.16666667,22.81666667,2000,Sorghum bicolor subsp. bicolor
PI 481907,Collection source event,11/15/1981,Sudan,Y,900,12.95,22.83333333,2000,Sorghum bicolor subsp. bicolor
PI 481909,Collection source event,11/15/1981,Sudan,Y,700,12.78333333,22.73333333,2000,Sorghum bicolor subsp. bicolor
PI 481910,Collection source event,11/15/1981,Sudan,Y,700,12.61666667,22.71666667,2000,Sorghum bicolor subsp. bicolor
PI 481911,Collection source event,11/15/1981,Sudan,Y,900,12.56666667,22.63333333,2000,Sorghum bicolor subsp. bicolor
PI 481913,Collection source event,11/17/1981,Sudan,Y,700,12.6,22.75,2000,Sorghum bicolor subsp. bicolor
PI 481914,Collection source event,11/17/1981,Sudan,Y,700,12.85,23.11666667,2000,Sorghum bicolor subsp. bicolor
PI 481932,Collection source event,12/7/1981,Sudan,Y,950,12.33333333,23.13333333,2000,Sorghum bicolor subsp. bicolor
PI 481934,Collection source event,12/7/1981,Sudan,Y,1050,12.15,23.43333333,2000,Sorghum bicolor subsp. bicolor
PI 481935,Collection source event,12/8/1981,Sudan,Y,790,12.28333333,22.8,2000,Sorghum bicolor subsp. bicolor
PI 481937,Collection source event,12/10/1981,Sudan,Y,650,11.9,23.11666667,2000,Sorghum bicolor subsp. bicolor
PI 481938,Collection source event,12/10/1981,Sudan,Y,650,11.68333333,23.45,2000,Sorghum bicolor subsp. bicolor
PI 481939,Collection source event,12/11/1981,Sudan,Y,600,11.55,23.11666667,2000,Sorghum bicolor subsp. bicolor
PI 482605,Collection source event,4/14/1982,Zimbabwe,Y,750,-20.38333333,30.66666667,2000,Sorghum bicolor subsp. bicolor
PI 482606,Collection source event,4/14/1982,Zimbabwe,Y,750,-20.38333333,30.66666667,2000,Sorghum bicolor subsp. bicolor
PI 482607,Collection source event,4/14/1982,Zimbabwe,Y,750,-20.3,30.56666667,2000,Sorghum bicolor subsp. bicolor
PI 482608,Collection source event,4/14/1982,Zimbabwe,Y,950,-20.2,30.43333333,2000,Sorghum bicolor subsp. bicolor
PI 482609,Collection source event,4/14/1982,Zimbabwe,Y,950,-20.2,30.43333333,2000,Sorghum bicolor subsp. bicolor
PI 482610,Collection source event,4/14/1982,Zimbabwe,Y,950,-20.2,30.43333333,2000,Sorghum bicolor subsp. bicolor
PI 482611,Collection source event,4/14/1982,Zimbabwe,Y,950,-20.2,30.43333333,2000,Sorghum bicolor subsp. bicolor
PI 482612,Collection source event,4/14/1982,Zimbabwe,Y,950,-20.2,30.43333333,2000,Sorghum bicolor subsp. bicolor
PI 482613,Collection source event,4/15/1982,Zimbabwe,Y,1180,-19.56666667,31.28333333,2000,Sorghum bicolor subsp. bicolor
PI 482614,Collection source event,4/15/1982,Zimbabwe,Y,1100,-19.53333333,31.36666667,2000,Sorghum bicolor subsp. bicolor
PI 482615,Collection source event,4/15/1982,Zimbabwe,Y,1100,-19.53333333,31.41666667,2000,Sorghum bicolor subsp. bicolor
PI 482616,Collection source event,4/15/1982,Zimbabwe,Y,1100,-19.53333333,31.41666667,2000,Sorghum bicolor subsp. bicolor
PI 482617,Collection source event,4/15/1982,Zimbabwe,Y,1100,-19.53333333,31.41666667,2000,Sorghum bicolor subsp. bicolor
PI 482618,Collection source event,4/15/1982,Zimbabwe,Y,1100,-19.53333333,31.41666667,2000,Sorghum bicolor subsp. bicolor
PI 482619,Collection source event,4/15/1982,Zimbabwe,Y,1100,-19.6,31.46666667,2000,Sorghum bicolor subsp. bicolor
PI 482620,Collection source event,4/15/1982,Zimbabwe,Y,1100,-19.6,31.46666667,2000,Sorghum bicolor subsp. bicolor
PI 482621,Collection source event,4/15/1982,Zimbabwe,Y,1100,-19.6,31.46666667,2000,Sorghum bicolor subsp. bicolor
PI 482622,Collection source event,4/15/1982,Zimbabwe,Y,1100,-19.6,31.46666667,2000,Sorghum bicolor subsp. bicolor
PI 482623,Collection source event,4/15/1982,Zimbabwe,Y,1100,-19.6,31.46666667,2000,Sorghum bicolor subsp. bicolor
PI 482624,Collection source event,4/16/1982,Zimbabwe,Y,1050,-19.78333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 482625,Collection source event,4/16/1982,Zimbabwe,Y,930,-20,31.86666667,100000,Sorghum bicolor subsp. bicolor
PI 482626,Collection source event,4/16/1982,Zimbabwe,Y,930,-20,31.86666667,100000,Sorghum bicolor subsp. bicolor
PI 482627,Collection source event,4/17/1982,Zimbabwe,Y,660,-20.4,31.73333333,2000,Sorghum bicolor subsp. bicolor
PI 482628,Collection source event,4/17/1982,Zimbabwe,Y,650,-20.43333333,31.85,2000,Sorghum bicolor subsp. bicolor
PI 482629,Collection source event,4/17/1982,Zimbabwe,Y,650,-20.43333333,31.85,2000,Sorghum bicolor subsp. bicolor
PI 482631,Collection source event,4/17/1982,Zimbabwe,Y,650,-20.43333333,31.86666667,2000,Sorghum bicolor subsp. bicolor
PI 482632,Collection source event,4/17/1982,Zimbabwe,Y,650,-20.43333333,31.86666667,2000,Sorghum bicolor subsp. bicolor
PI 482633,Collection source event,4/17/1982,Zimbabwe,Y,650,-20.43333333,31.86666667,2000,Sorghum bicolor subsp. bicolor
PI 482635,Collection source event,4/17/1982,Zimbabwe,Y,650,-20.43333333,31.86666667,2000,Sorghum bicolor subsp. bicolor
PI 482636,Collection source event,4/17/1982,Zimbabwe,Y,650,-20.43333333,31.86666667,2000,Sorghum bicolor subsp. bicolor
PI 482637,Collection source event,4/19/1982,Zimbabwe,Y,1000,-20.28333333,31.08333333,2000,Sorghum bicolor subsp. bicolor
PI 482639,Collection source event,4/19/1982,Zimbabwe,Y,800,-20.41666667,31.05,2000,Sorghum bicolor subsp. bicolor
PI 482640,Collection source event,4/19/1982,Zimbabwe,Y,750,-20.43333333,31.15,2000,Sorghum bicolor subsp. bicolor
PI 482641,Collection source event,4/19/1982,Zimbabwe,Y,700,-20.43333333,31.15,2000,Sorghum bicolor subsp. bicolor
PI 482643,Collection source event,4/19/1982,Zimbabwe,Y,700,-20.43333333,31.15,2000,Sorghum bicolor subsp. bicolor
PI 482644,Collection source event,4/19/1982,Zimbabwe,Y,680,-20.7,31.08333333,2000,Sorghum bicolor subsp. bicolor
PI 482645,Collection source event,4/19/1982,Zimbabwe,Y,680,-20.7,31.08333333,2000,Sorghum bicolor subsp. bicolor
PI 482647,Collection source event,4/20/1982,Zimbabwe,Y,550,-20.91666667,30.71666667,2000,Sorghum bicolor subsp. bicolor
PI 482648,Collection source event,4/20/1982,Zimbabwe,Y,550,-20.91666667,30.71666667,2000,Sorghum bicolor subsp. bicolor
PI 482649,Collection source event,4/20/1982,Zimbabwe,Y,550,-20.91666667,30.71666667,2000,Sorghum bicolor subsp. bicolor
PI 482651,Collection source event,4/20/1982,Zimbabwe,Y,600,-20.93333333,30.63333333,2000,Sorghum bicolor subsp. bicolor
PI 482652,Collection source event,4/20/1982,Zimbabwe,Y,600,-20.93333333,30.63333333,2000,Sorghum bicolor subsp. bicolor
PI 482653,Collection source event,4/20/1982,Zimbabwe,Y,600,-20.93333333,30.63333333,2000,Sorghum bicolor subsp. bicolor
PI 482654,Collection source event,4/20/1982,Zimbabwe,Y,650,-21.21666667,30.35,2000,Sorghum bicolor subsp. bicolor
PI 482655,Collection source event,4/20/1982,Zimbabwe,Y,650,-21.21666667,30.35,2000,Sorghum bicolor subsp. bicolor
PI 482657,Collection source event,4/20/1982,Zimbabwe,Y,580,-20.28333333,30.46666667,2000,Sorghum bicolor subsp. bicolor
PI 482658,Collection source event,4/20/1982,Zimbabwe,Y,580,-20.28333333,30.46666667,2000,Sorghum bicolor subsp. bicolor
PI 482659,Collection source event,4/21/1982,Zimbabwe,Y,350,-20.11666667,32.13333333,2000,Sorghum bicolor subsp. bicolor
PI 482660,Collection source event,4/21/1982,Zimbabwe,Y,350,-21.11666667,32.13333333,2000,Sorghum bicolor subsp. bicolor
PI 482661,Collection source event,4/21/1982,Zimbabwe,Y,350,-21.11666667,32.13333333,2000,Sorghum bicolor subsp. bicolor
PI 482662,Collection source event,4/21/1982,Zimbabwe,Y,350,-21.11666667,32.13333333,2000,Sorghum bicolor subsp. bicolor
PI 482663,Collection source event,4/21/1982,Zimbabwe,Y,410,-20.8,32.18333333,2000,Sorghum bicolor subsp. bicolor
PI 482664,Collection source event,4/21/1982,Zimbabwe,Y,410,-20.8,32.18333333,2000,Sorghum bicolor subsp. bicolor
PI 482665,Collection source event,4/21/1982,Zimbabwe,Y,410,-20.8,32.18333333,2000,Sorghum bicolor subsp. bicolor
PI 482666,Collection source event,4/22/1982,Zimbabwe,Y,340,-22.08333333,31.43333333,2000,Sorghum bicolor subsp. bicolor
PI 482667,Collection source event,4/22/1982,Zimbabwe,Y,340,-22.08333333,31.43333333,2000,Sorghum bicolor subsp. bicolor
PI 482668,Collection source event,4/22/1982,Zimbabwe,Y,340,-22.83333333,31.2,2000,Sorghum bicolor subsp. bicolor
PI 482669,Collection source event,4/22/1982,Zimbabwe,Y,340,-22.83333333,31.2,2000,Sorghum bicolor subsp. bicolor
PI 482670,Collection source event,4/22/1982,Zimbabwe,Y,340,-22.83333333,31.2,2000,Sorghum bicolor subsp. bicolor
PI 482671,Collection source event,4/22/1982,Zimbabwe,Y,340,-22.83333333,31.2,2000,Sorghum bicolor subsp. bicolor
PI 482672,Collection source event,4/22/1982,Zimbabwe,Y,400,-22.68333333,31.31666667,2000,Sorghum bicolor subsp. bicolor
PI 482673,Collection source event,4/22/1982,Zimbabwe,Y,400,-22.68333333,31.31666667,2000,Sorghum bicolor subsp. bicolor
PI 482674,Collection source event,4/22/1982,Zimbabwe,Y,400,-22.68333333,31.31666667,2000,Sorghum bicolor subsp. bicolor
PI 482675,Collection source event,4/22/1982,Zimbabwe,Y,400,-22.68333333,31.31666667,2000,Sorghum bicolor subsp. bicolor
PI 482677,Collection source event,4/22/1982,Zimbabwe,Y,400,-22.68333333,31.31666667,2000,Sorghum bicolor subsp. bicolor
PI 482678,Collection source event,4/22/1982,Zimbabwe,Y,400,-22.68333333,31.31666667,2000,Sorghum bicolor subsp. bicolor
PI 482679,Collection source event,4/22/1982,Zimbabwe,Y,400,-22.68333333,31.31666667,2000,Sorghum bicolor subsp. bicolor
PI 482681,Collection source event,4/22/1982,Zimbabwe,Y,350,-21.35,31.78333333,2000,Sorghum bicolor subsp. bicolor
PI 482682,Collection source event,4/22/1982,Zimbabwe,Y,350,-21.35,31.78333333,2000,Sorghum bicolor subsp. bicolor
PI 482683,Collection source event,4/23/1982,Zimbabwe,Y,570,-20.51666667,31.51666667,2000,Sorghum bicolor subsp. bicolor
PI 482685,Collection source event,4/26/1982,Zimbabwe,Y,760,-20.55,30.7,2000,Sorghum bicolor subsp. bicolor
PI 482686,Collection source event,4/26/1982,Zimbabwe,Y,750,-20.6,30.66666667,2000,Sorghum bicolor subsp. bicolor
PI 482687,Collection source event,4/26/1982,Zimbabwe,Y,750,-20.6,30.66666667,2000,Sorghum bicolor subsp. bicolor
PI 482689,Collection source event,4/26/1982,Zimbabwe,Y,720,-20.66666667,30.63333333,2000,Sorghum bicolor subsp. bicolor
PI 482690,Collection source event,4/26/1982,Zimbabwe,Y,720,-20.66666667,30.63333333,2000,Sorghum bicolor subsp. bicolor
PI 482691,Collection source event,4/26/1982,Zimbabwe,Y,720,-20.75,30.71666667,2000,Sorghum bicolor subsp. bicolor
PI 482693,Collection source event,4/30/1982,Zimbabwe,Y,720,-20.41666667,31.41666667,2000,Sorghum bicolor subsp. bicolor
PI 482694,Collection source event,4/30/1982,Zimbabwe,Y,720,-20.45,31.33333333,2000,Sorghum bicolor subsp. bicolor
PI 482695,Collection source event,4/30/1982,Zimbabwe,Y,720,-20.45,31.33333333,2000,Sorghum bicolor subsp. bicolor
PI 482697,Collection source event,4/30/1982,Zimbabwe,Y,720,-20.45,31.33333333,2000,Sorghum bicolor subsp. bicolor
PI 482698,Collection source event,4/30/1982,Zimbabwe,Y,850,-20.46666667,31.36666667,2000,Sorghum bicolor subsp. bicolor
PI 482699,Collection source event,4/30/1982,Zimbabwe,Y,960,-20.21666667,31.4,2000,Sorghum bicolor subsp. bicolor
PI 482700,Collection source event,4/30/1982,Zimbabwe,Y,960,-20.21666667,31.4,2000,Sorghum bicolor subsp. bicolor
PI 482704,Collection source event,5/1/1982,Zimbabwe,Y,,-20.21666667,31.4,2000,Sorghum bicolor subsp. bicolor
PI 482720,Collection source event,5/1/1982,Zimbabwe,Y,,-20.21666667,31.4,2000,Sorghum bicolor subsp. bicolor
PI 482724,Collection source event,5/1/1982,Zimbabwe,Y,,-20.21666667,31.4,2000,Sorghum bicolor subsp. bicolor
PI 482731,Collection source event,5/5/1982,Zimbabwe,Y,,-20.05,32.86666667,2000,Sorghum bicolor subsp. bicolor
PI 482732,Collection source event,5/5/1982,Zimbabwe,Y,700,-20.03333333,32.9,2000,Sorghum bicolor subsp. bicolor
PI 482733,Collection source event,5/5/1982,Zimbabwe,Y,700,-20.03333333,32.9,2000,Sorghum bicolor subsp. bicolor
PI 482735,Collection source event,5/5/1982,Zimbabwe,Y,700,-20.06666667,32.78333333,2000,Sorghum bicolor subsp. bicolor
PI 482736,Collection source event,5/5/1982,Zimbabwe,Y,750,-20.06666667,32.83333333,2000,Sorghum bicolor subsp. bicolor
PI 482737,Collection source event,5/5/1982,Zimbabwe,Y,750,-20.06666667,32.83333333,2000,Sorghum bicolor subsp. bicolor
PI 482739,Collection source event,5/6/1982,Zimbabwe,Y,1000,-20.08333333,32.86666667,2000,Sorghum bicolor subsp. bicolor
PI 482740,Collection source event,5/6/1982,Zimbabwe,Y,980,-20.01666667,32.91666667,2000,Sorghum bicolor subsp. bicolor
PI 482741,Collection source event,5/6/1982,Zimbabwe,Y,1020,-20.01666667,32.95,2000,Sorghum bicolor subsp. bicolor
PI 482743,Collection source event,5/7/1982,Zimbabwe,Y,1030,-19.55,32.56666667,2000,Sorghum bicolor subsp. bicolor
PI 482744,Collection source event,5/7/1982,Zimbabwe,Y,1030,-19.55,32.56666667,2000,Sorghum bicolor subsp. bicolor
PI 482745,Collection source event,5/7/1982,Zimbabwe,Y,1030,-19.55,32.56666667,2000,Sorghum bicolor subsp. bicolor
PI 482746,Collection source event,5/7/1982,Zimbabwe,Y,1050,-19.56666667,32.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482747,Collection source event,5/7/1982,Zimbabwe,Y,1050,-19.56666667,32.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482748,Collection source event,5/7/1982,Zimbabwe,Y,1050,-19.56666667,32.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482749,Collection source event,5/7/1982,Zimbabwe,Y,780,-19.73333333,32.56666667,2000,Sorghum bicolor subsp. bicolor
PI 482750,Collection source event,5/7/1982,Zimbabwe,Y,780,-19.73333333,32.56666667,2000,Sorghum bicolor subsp. bicolor
PI 482751,Collection source event,5/7/1982,Zimbabwe,Y,780,-19.73333333,32.56666667,2000,Sorghum bicolor subsp. bicolor
PI 482752,Collection source event,5/8/1982,Zimbabwe,Y,1500,-19.68333333,32.95,2000,Sorghum bicolor subsp. bicolor
PI 482753,Collection source event,5/8/1982,Zimbabwe,Y,1200,-19.7,32.93333333,2000,Sorghum bicolor subsp. bicolor
PI 482754,Collection source event,5/8/1982,Zimbabwe,Y,1200,-19.7,32.93333333,2000,Sorghum bicolor subsp. bicolor
PI 482755,Collection source event,5/8/1982,Zimbabwe,Y,1200,-19.7,32.93333333,2000,Sorghum bicolor subsp. bicolor
PI 482756,Collection source event,5/10/1982,Zimbabwe,Y,700,-20.3,32.81666667,2000,Sorghum bicolor subsp. bicolor
PI 482757,Collection source event,5/10/1982,Zimbabwe,Y,700,-20.25,32.81666667,2000,Sorghum bicolor subsp. bicolor
PI 482758,Collection source event,5/10/1982,Zimbabwe,Y,700,-20.25,32.81666667,2000,Sorghum bicolor subsp. bicolor
PI 482759,Collection source event,5/10/1982,Zimbabwe,Y,900,-20.36666667,32.76666667,2000,Sorghum bicolor subsp. bicolor
PI 482760,Collection source event,5/11/1982,Zimbabwe,Y,980,-20.43333333,32.71666667,2000,Sorghum bicolor subsp. bicolor
PI 482761,Collection source event,5/11/1982,Zimbabwe,Y,900,-20.43333333,32.73333333,2000,Sorghum bicolor subsp. bicolor
PI 482762,Collection source event,5/11/1982,Zimbabwe,Y,860,-20.43333333,32.75,2000,Sorghum bicolor subsp. bicolor
PI 482763,Collection source event,5/11/1982,Zimbabwe,Y,860,-20.43333333,32.75,2000,Sorghum bicolor subsp. bicolor
PI 482764,Collection source event,5/17/1982,Zimbabwe,Y,1000,-18.88333333,29.11666667,2000,Sorghum bicolor subsp. bicolor
PI 482765,Collection source event,5/18/1982,Zimbabwe,Y,1150,-18.78333333,29.43333333,2000,Sorghum bicolor subsp. bicolor
PI 482766,Collection source event,5/18/1982,Zimbabwe,Y,1130,-18.66666667,29.36666667,2000,Sorghum bicolor subsp. bicolor
PI 482767,Collection source event,5/18/1982,Zimbabwe,Y,1130,-18.66666667,29.36666667,2000,Sorghum bicolor subsp. bicolor
PI 482769,Collection source event,5/18/1982,Zimbabwe,Y,1130,-18.66666667,29.36666667,2000,Sorghum bicolor subsp. bicolor
PI 482770,Collection source event,5/18/1982,Zimbabwe,Y,1130,-18.68333333,29.31666667,2000,Sorghum bicolor subsp. bicolor
PI 482771,Collection source event,5/18/1982,Zimbabwe,Y,1080,-18.58333333,29.41666667,2000,Sorghum bicolor subsp. bicolor
PI 482773,Collection source event,5/19/1982,Zimbabwe,Y,1150,-19.75,30.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482774,Collection source event,5/19/1982,Zimbabwe,Y,1150,-19.75,30.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482775,Collection source event,5/19/1982,Zimbabwe,Y,1150,-19.75,30.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482777,Collection source event,5/19/1982,Zimbabwe,Y,1150,-19.75,30.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482778,Collection source event,5/19/1982,Zimbabwe,Y,1150,-19.75,30.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482779,Collection source event,5/19/1982,Zimbabwe,Y,1150,-19.75,30.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482781,Collection source event,5/19/1982,Zimbabwe,Y,1150,-19.75,30.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482782,Collection source event,5/19/1982,Zimbabwe,Y,1150,-19.75,30.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482783,Collection source event,5/19/1982,Zimbabwe,Y,1100,-19.83333333,30.55,2000,Sorghum bicolor subsp. bicolor
PI 482785,Collection source event,5/19/1982,Zimbabwe,Y,1100,-19.83333333,30.55,2000,Sorghum bicolor subsp. bicolor
PI 482786,Collection source event,5/20/1982,Zimbabwe,Y,1490,-18.9,31.03333333,2000,Sorghum bicolor subsp. bicolor
PI 482787,Collection source event,5/20/1982,Zimbabwe,Y,1420,-18.88333333,31.4,2000,Sorghum bicolor subsp. bicolor
PI 482789,Collection source event,5/21/1982,Zimbabwe,Y,1100,-18.25,28.4,2000,Sorghum bicolor subsp. bicolor
PI 482790,Collection source event,5/22/1982,Zimbabwe,Y,1100,-18.16666667,28.56666667,2000,Sorghum bicolor subsp. bicolor
PI 482791,Collection source event,5/22/1982,Zimbabwe,Y,1180,-18.2,28.6,2000,Sorghum bicolor subsp. bicolor
PI 482792,Collection source event,5/22/1982,Zimbabwe,Y,1120,-18.13333333,28.65,2000,Sorghum bicolor subsp. bicolor
PI 482793,Collection source event,5/24/1982,Zimbabwe,Y,1300,-19.26666667,29.46666667,2000,Sorghum bicolor subsp. bicolor
PI 482794,Collection source event,5/24/1982,Zimbabwe,Y,1300,-19.26666667,29.46666667,2000,Sorghum bicolor subsp. bicolor
PI 482795,Collection source event,5/24/1982,Zimbabwe,Y,1300,-19.26666667,29.46666667,2000,Sorghum bicolor subsp. bicolor
PI 482796,Collection source event,5/20/1982,Zimbabwe,Y,1420,-18.88333333,31.4,2000,Sorghum bicolor subsp. bicolor
PI 482797,Collection source event,5/20/1982,Zimbabwe,Y,1420,-18.88333333,31.4,2000,Sorghum bicolor subsp. bicolor
PI 482798,Collection source event,5/20/1982,Zimbabwe,Y,1200,-19.03333333,31.46666667,2000,Sorghum bicolor subsp. bicolor
PI 482799,Collection source event,5/26/1982,Zimbabwe,Y,1200,-19.55,30.26666667,2000,Sorghum bicolor subsp. bicolor
PI 482800,Collection source event,5/26/1982,Zimbabwe,Y,1200,-19.73333333,30.26666667,2000,Sorghum bicolor subsp. bicolor
PI 482801,Collection source event,5/27/1982,Zimbabwe,Y,780,-20.63333333,30.38333333,2000,Sorghum bicolor subsp. bicolor
PI 482802,Collection source event,5/27/1982,Zimbabwe,Y,780,-20.63333333,30.38333333,2000,Sorghum bicolor subsp. bicolor
PI 482803,Collection source event,5/27/1982,Zimbabwe,Y,750,-20.75,30.33333333,2000,Sorghum bicolor subsp. bicolor
PI 482805,Collection source event,5/27/1982,Zimbabwe,Y,850,-20.8,30.36666667,2000,Sorghum bicolor subsp. bicolor
PI 482806,Collection source event,5/27/1982,Zimbabwe,Y,850,-20.7,30.35,2000,Sorghum bicolor subsp. bicolor
PI 482807,Collection source event,5/27/1982,Zimbabwe,Y,850,-20.7,30.35,2000,Sorghum bicolor subsp. bicolor
PI 482808,Collection source event,5/27/1982,Zimbabwe,Y,760,-20.85,30.18333333,2000,Sorghum bicolor subsp. bicolor
PI 482809,Collection source event,5/27/1982,Zimbabwe,Y,760,-20.85,30.2,2000,Sorghum bicolor subsp. bicolor
PI 482810,Collection source event,5/27/1982,Zimbabwe,Y,760,-20.85,30.2,2000,Sorghum bicolor subsp. bicolor
PI 482811,Collection source event,5/27/1982,Zimbabwe,Y,760,-20.85,30.2,2000,Sorghum bicolor subsp. bicolor
PI 482812,Collection source event,5/27/1982,Zimbabwe,Y,760,-20.85,30.2,2000,Sorghum bicolor subsp. bicolor
PI 482813,Collection source event,5/27/1982,Zimbabwe,Y,760,-20.85,30.2,2000,Sorghum bicolor subsp. bicolor
PI 482815,Collection source event,5/28/1982,Zimbabwe,Y,850,-20.43333333,30.28333333,2000,Sorghum bicolor subsp. bicolor
PI 482816,Collection source event,5/28/1982,Zimbabwe,Y,850,-20.43333333,30.28333333,2000,Sorghum bicolor subsp. bicolor
PI 482817,Collection source event,5/28/1982,Zimbabwe,Y,850,-20.43333333,30.28333333,2000,Sorghum bicolor subsp. bicolor
PI 482819,Collection source event,5/28/1982,Zimbabwe,Y,850,-20.43333333,30.28333333,2000,Sorghum bicolor subsp. bicolor
PI 482820,Collection source event,5/28/1982,Zimbabwe,Y,1050,-20.13333333,29.95,2000,Sorghum bicolor subsp. bicolor
PI 482821,Collection source event,5/28/1982,Zimbabwe,Y,1050,-20.13333333,29.95,2000,Sorghum bicolor subsp. bicolor
PI 482823,Collection source event,6/1/1982,Zimbabwe,Y,1320,-18.6,32.08333333,2000,Sorghum bicolor subsp. bicolor
PI 482824,Collection source event,6/1/1982,Zimbabwe,Y,1320,-18.6,32.08333333,2000,Sorghum bicolor subsp. bicolor
PI 482825,Collection source event,6/1/1982,Zimbabwe,Y,1320,-18.6,32.08333333,2000,Sorghum bicolor subsp. bicolor
PI 482827,Collection source event,6/1/1982,Zimbabwe,Y,1320,-18.61666667,32.08333333,2000,Sorghum bicolor subsp. bicolor
PI 482828,Collection source event,6/1/1982,Zimbabwe,Y,1320,-18.6,32.08333333,2000,Sorghum bicolor subsp. bicolor
PI 482829,Collection source event,6/1/1982,Zimbabwe,Y,1100,-18.83333333,32.05,2000,Sorghum bicolor subsp. bicolor
PI 482831,Collection source event,6/2/1982,Zimbabwe,Y,1190,-18.01666667,32.65,2000,Sorghum bicolor subsp. bicolor
PI 482832,Collection source event,6/2/1982,Zimbabwe,Y,1190,-18.01666667,32.65,2000,Sorghum bicolor subsp. bicolor
PI 482833,Collection source event,6/3/1982,Zimbabwe,Y,800,-17.86666667,32.95,2000,Sorghum bicolor subsp. bicolor
PI 482835,Collection source event,6/3/1982,Zimbabwe,Y,800,-17.78333333,32.98333333,2000,Sorghum bicolor subsp. bicolor
PI 482836,Collection source event,6/3/1982,Zimbabwe,Y,900,-17.9,32.86666667,2000,Sorghum bicolor subsp. bicolor
PI 482837,Collection source event,6/3/1982,Zimbabwe,Y,1200,-17.86666667,32.91666667,2000,Sorghum bicolor subsp. bicolor
PI 482838,Collection source event,6/7/1982,Zimbabwe,Y,850,-18.56666667,32.8,2000,Sorghum bicolor subsp. bicolor
PI 482839,Collection source event,6/7/1982,Zimbabwe,Y,850,-18.56666667,32.8,2000,Sorghum bicolor subsp. bicolor
PI 482840,Collection source event,6/7/1982,Zimbabwe,Y,850,-18.56666667,32.75,2000,Sorghum bicolor subsp. bicolor
PI 482841,Collection source event,6/7/1982,Zimbabwe,Y,850,-18.56666667,32.75,2000,Sorghum bicolor subsp. bicolor
PI 482842,Collection source event,6/7/1982,Zimbabwe,Y,900,-18.6,34.76666667,2000,Sorghum bicolor subsp. bicolor
PI 482843,Collection source event,6/7/1982,Zimbabwe,Y,900,-18.6,34.76666667,2000,Sorghum bicolor subsp. bicolor
PI 482844,Collection source event,6/7/1982,Zimbabwe,Y,900,-18.6,34.76666667,2000,Sorghum bicolor subsp. bicolor
PI 482845,Collection source event,6/7/1982,Zimbabwe,Y,900,-18.6,34.76666667,2000,Sorghum bicolor subsp. bicolor
PI 482846,Collection source event,6/7/1982,Zimbabwe,Y,900,-18.6,34.76666667,2000,Sorghum bicolor subsp. bicolor
PI 482847,Collection source event,6/7/1982,Zimbabwe,Y,900,-18.6,34.76666667,2000,Sorghum bicolor subsp. bicolor
