Accession,Source Type,Source Date,Geography,Is Origin?,Elevation (meters),Latitude,Longitude,Uncertainty,Taxon
PI 526834,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526835,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526836,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526837,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526838,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526839,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526840,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526841,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526842,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526844,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526845,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526846,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526848,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526849,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526850,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526852,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526853,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526854,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526856,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526857,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526858,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526860,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526861,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526862,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
