,stdMinorAxisLength,sample,stdMajorAxisLength,majorAxisLength,averageArea,totalCount,stdArea,minorAxisLength
601,3.272936314,SAP312,3.446697616,51.96762489,1944.380952,39,245.2764186,47.93097029
602,3.24295052,SAP312,3.426399804,51.93733446,1941.047619,39,243.3215541,47.90890015
603,2.777880167,SAP313,2.812638502,48.30219172,1587.305556,54,166.1802601,42.23475179
604,2.761254743,SAP313,2.802889524,48.24809385,1583.888889,54,165.9040516,42.20559001
605,2.937278456,SAP314,2.61237895,54.57809187,1958.375,40,202.5885223,45.89338352
606,2.951678511,SAP314,2.611431374,54.51024322,1948.3125,37,201.7819735,45.72842847
607,2.333866615,SAP315,1.654884558,51.76838909,1894.821429,41,140.1649675,46.98564857
608,2.347282876,SAP315,1.648969854,51.85007803,1902.535714,42,140.8315818,47.09791999
609,4.88566653,SAP317,3.21230617,50.18283445,1715.906977,59,278.1613898,43.85357519
610,4.898179084,SAP317,3.229583204,50.22624789,1718.511628,60,278.931964,43.88271173
611,3.357083303,SAP318,3.812472229,53.25891973,1874.487179,54,238.9156993,45.36075118
612,3.383307069,SAP318,5.921651392,53.99978052,1884.925,54,241.4315004,45.5162049
613,5.407056828,SAP319,2.914208291,52.89044959,1913.740741,48,296.1501862,46.91855592
614,5.389964588,SAP319,2.859032475,52.87785121,1907.185185,48,294.3136444,46.83142235
615,3.800261121,SAP320,4.271020635,48.30708597,1515.111111,48,260.7733986,40.37203783
616,3.778545436,SAP320,4.2956432,48.39112899,1521.711111,48,259.4305407,40.42111252
617,2.707944751,SAP321,2.145178533,59.26498058,2337.323529,50,162.2995996,50.83363348
618,2.660304511,SAP321,2.202043244,59.18626628,2322.59375,50,162.4730476,50.59218671
619,3.535352859,SAP322,3.292940271,45.58854629,1464.486486,42,218.6326824,41.6323163
620,3.531824976,SAP322,3.298910217,45.63099278,1466.594595,42,219.6015384,41.649714
621,2.952998158,SAP323,4.554727176,44.90928028,1301.243243,80,183.9724429,37.62890941
622,2.998443432,SAP323,4.607872493,44.94497108,1305.378378,82,184.2859634,37.71865639
623,3.148370377,SAP324,1.996589486,52.18662506,1908.884615,36,178.031831,46.98521014
624,3.129101816,SAP324,2.04642898,52.2584826,1915.807692,36,179.7915501,47.10458513
625,3.86874324,SAP325,3.944002799,42.32165075,1196.257143,55,229.6122623,36.23093287
626,3.667210101,SAP325,3.855146752,42.23753617,1184.848485,56,218.3022816,36.00569685
627,3.265873473,SAP326,2.892085673,51.97039365,1788.2,45,216.8503632,44.23323747
628,3.263062197,SAP326,2.893340224,52.00901884,1789.6,45,214.6595444,44.23556793
629,3.156723537,SAP327,2.752319651,48.68437189,1611.416667,58,187.9876437,42.69839041
630,3.203705335,SAP327,2.716211437,48.60996035,1605.777778,59,187.4652725,42.60969172
631,2.246440888,SAP328,2.199775156,52.162014,1789.309524,59,145.0962715,44.14956859
632,2.210817709,SAP328,2.238899215,52.07181777,1782.675,58,146.8406258,44.04358991
633,3.295280724,SAP329,2.815702217,46.49621139,1472.296296,74,194.4842781,40.75098186
634,3.276149736,SAP329,2.809511699,46.42075217,1468.314815,74,193.0668493,40.71272065
635,4.373726392,SAP330,4.307778577,49.90721073,1585.972973,58,231.9230402,41.3204426
636,4.120577449,SAP330,3.265894204,49.59274019,1586.189189,58,226.9917057,41.22959047
637,4.034615696,SAP331,4.786964739,52.29028022,1608.047619,27,207.7197004,40.11967025
