,sample,imageHash,MeanIntensity_r_mean,MeanIntensity_g_mean,MeanIntensity_b_mean,StdIntensity_r_mean,StdIntensity_g_mean,StdIntensity_b_mean,Area_mean,Solidity_mean,Perimeter_mean,Eccentricity_mean,Orientation_mean,MajorAxisLength_mean,MinorAxisLength_mean,MeanIntensity_r_std,MeanIntensity_g_std,MeanIntensity_b_std,StdIntensity_r_std,StdIntensity_g_std,StdIntensity_b_std,Area_std,Solidity_std,Perimeter_std,Eccentricity_std,Orientation_std,MajorAxisLength_std,MinorAxisLength_std
160,BAP081,bcfc2260d32b51404847c3df4a6116e20fbd69ed,43575.48591761754,37514.91146270057,34874.357810256806,11333.442460784108,11056.647594350163,10131.75725263768,2391.206896551724,0.9559221012860715,188.52275862068964,0.3386531746550548,-1.8297092573519758,56.974225400637884,53.24085217227753,4019.3658643464387,4080.2203288552314,3804.749459445887,1615.4014014230686,1778.9486287021932,1704.800136574323,463.6110884990893,0.02159843901711015,18.536742751425137,0.10736800735013854,40.23212105750464,5.147149637504778,5.623789522258943
161,BAP081,d1d94c6e8240adf203192a5b73d09e459b1fc7b2,39767.73333102465,34523.59971217811,32510.30404083432,13990.54587604479,13056.653358601043,11823.846760019658,2591.0833333333335,0.9282312415497184,227.20825000000005,0.33122503580526447,8.946284348677011,59.478040598329606,55.69807188274919,4170.056389507051,4153.574536667558,3833.0786948806526,2337.4098580745544,2280.4955191804684,2076.2945532367503,348.85851738421866,0.028999871471612235,21.770932765439166,0.10829185499390011,40.94720179996699,3.7749869057667964,4.099304719666877
162,BAP082,407bbdc08c01d3a4d99229271c6db7fcc701e37e,26664.616954539502,15677.186427145662,14179.883374679568,9331.95996666992,5999.170252903631,5058.230454047277,1527.7857142857142,0.898318490377883,187.8831071428572,0.4949649106891795,-5.110839503793685,48.16311772657296,41.09977202229894,1436.2255144025744,1215.6994138499422,1045.0432300494388,1126.2027021981046,767.8365371364035,618.4197519108244,156.18028210846748,0.03530284118845135,23.979243765222208,0.12798314903476807,50.088216713060056,3.5040989640576616,2.3924091100562297
163,BAP082,b5833734122ae146a71f2ec6a4189392156ab95a,22069.76048005745,13929.772649612283,13274.789383413738,10572.298118082113,6069.859800656559,4966.823222020321,1998.46875,0.8486971415762838,260.7516875,0.5563230411214374,-6.039181869078614,56.91585588214829,46.42276427206885,2998.589055655072,1406.1666690214236,1144.5077248627595,2018.1716697279858,1176.4758102395886,956.9853701064018,227.59627305398593,0.07451207862183118,87.52308752973642,0.1115504986561453,49.47486483502252,4.633467801956706,4.0124310203323414
164,BAP083,5a91131b87438b90c0ce48edc16196d745a88dd8,42096.15656603729,36447.42160977857,34017.628826345164,15046.737302202851,13757.563137911982,12161.367733163697,2262.8387096774195,0.9141286583092217,220.58996774193557,0.4576344130651629,-2.3146024866597164,57.47338973759619,50.75456649902179,2310.1136708503304,1645.4630282991614,1363.1379033157982,954.0111695733787,876.4832906671646,926.1446595426139,163.69017416534072,0.045404654564428555,39.8065560910795,0.08899174965305037,39.918316456872375,2.2511034692834277,2.390677050302582
165,BAP083,6423ba101baceb9fa99623c5049add32a900dfca,42110.57170763612,36500.08511334658,34118.27577710152,15011.348927803338,13746.285727098588,12132.834977433096,2264.366666666667,0.9049013202691563,222.46996666666666,0.45735621228796497,-3.6919474565993706,57.56684754964427,50.74449085366832,2264.412556746289,1584.1694664406045,1290.1523998709094,1003.4728546066561,918.0036231674725,956.6431679574006,165.12575841447028,0.05727585487954926,42.60785839488826,0.09898418337723511,39.79267517190732,2.532906384658135,2.415992937555029
166,BAP084,17d42da94917f22eb764d8fc943e08b797523c90,35019.49529993534,27298.12413096428,25015.720514327288,12276.82072873413,10693.37595397979,9377.706317156555,2209.44,0.8890847720376073,230.84756,0.3956318126280627,2.3124932494118338,55.99001040874269,50.92585270944644,4378.883950906353,4973.622308353546,4142.905457988763,1908.4730032608354,2230.456392953536,1960.8615911130712,250.53361051962673,0.05667905444109029,45.202605403413045,0.11616381928545351,59.24750920992409,2.7568326721313245,3.9657959008190504
167,BAP084,2c494eaf28e0e0d6e7a47ed15e670a5651fa58fc,35527.99260708002,27987.108235978165,25609.234324298224,12483.595612981859,10993.072360259692,9643.875298548783,2250.9615384615386,0.9095695018290144,219.18915384615383,0.38470314584012005,-1.1295061514811406,56.23785757043079,51.40178977334066,4249.677628134662,4801.068797903833,3921.44489464406,1938.7056518659447,2237.020578865132,1984.4519827193672,284.39612947707013,0.05320429641482099,42.288811491166136,0.1176064413090947,54.63023231916707,3.1682635902493903,4.148549110044437
168,BAP085,3450678b749f5afd1f1cd19db3a89b44396e79e0,39424.65532645583,32763.333702161908,29708.04678305984,13231.73583604395,12087.730899900194,10668.53764040395,2622.1666666666665,0.9325779147744997,222.62253333333334,0.38999265398732497,-11.033846137114402,60.653796803329776,55.38554034810657,2301.2448350281006,2931.1321115039113,3046.091014251838,1353.38842081423,1513.0204553478347,1597.4060228000985,219.75787355293036,0.028968577561857545,28.699609296551625,0.10261159766169434,37.793686226716254,2.8202573197265393,2.8008329744771023
169,BAP085,eff3f63f7f0b365c7d18cf71c3d3d7f8fe319627,39358.581857532256,32718.854854479436,29745.389328673482,13273.881456926467,12121.994031853976,10635.806948170068,2640.5666666666666,0.9278672093305521,229.48943333333332,0.3952765624869411,-11.416450688955065,61.038733967001,55.49545687572693,2412.90568509809,3041.0834184776245,3120.2721178464712,1260.604119126986,1426.4477404824868,1497.2852217535792,211.6971948299046,0.03469435112053648,33.858247030497026,0.11234084899928147,38.50468454998022,2.8995546738224625,2.7259749746804776
